canonical_smiles,standard_value
C[C@@H]1CN(Cc2c[nH]nc2-c2ccc3cnccc3c2)CCN1c1ccc(C(F)(F)F)cn1,11.0
C[C@@H]1CN(Cc2c[nH]nc2-c2ccc(C#N)c(=O)[nH]2)CCN1c1ccc(C(F)(F)F)cn1,49.0
FC(F)(F)c1ccc(N2CCN(Cc3c[nH]nc3-c3cccs3)CC2)nc1,4325.0
C[C@@H]1CN(Cc2c[nH]nc2-c2nc3ccccc3[nH]2)CCN1c1ccc(C(F)(F)F)cn1,374.0
Cc1cnc(-c2n[nH]cc2CN2CCN(c3ccc(C(F)(F)F)cn3)[C@H](C)C2)[nH]1,10000.0
Cc1nc(-c2n[nH]cc2CN2CCN(c3ccc(C(F)(F)F)cn3)[C@H](C)C2)[nH]c1C,10000.0
C[C@@H]1CN(Cc2c[nH]nc2-c2nc3c([nH]2)CCCC3)CCN1c1ccc(C(F)(F)F)cn1,5012.0
C[C@@H]1CN(Cc2c[nH]nc2-c2nc3cc(F)ccc3[nH]2)CCN1c1ccc(C(F)(F)F)cn1,9798.0
C[C@@H]1CN(Cc2c[nH]nc2-c2nc3cc(C#N)ccc3[nH]2)CCN1c1ccc(C(F)(F)F)cn1,2448.0
N#Cc1c[nH]c(-c2n[nH]cc2CN2CCN(c3ccc(C(F)(F)F)cn3)[C@H](C(F)(F)F)C2)c1,9.0
C[C@@H]1CN(Cc2c[nH]nc2C(=O)Nc2nc[nH]c2C#N)CCN1c1ccc(C(F)(F)F)cn1,10000.0
C[C@@H]1CN(Cc2c[nH]nc2C(=O)Nc2cc(-c3ccco3)n[nH]2)CCN1c1ccc(C(F)(F)F)cn1,5332.0
Cc1cc(NC(=O)c2n[nH]cc2CN2CCN(c3ccc(C(F)(F)F)cn3)[C@H](C)C2)n(CCN(C)C)n1,6194.0
C[C@@H]1CN(Cc2c[nH]nc2C(=O)Nc2n[nH]cc2C#N)CCN1c1ccc(C(F)(F)F)cn1,10000.0
C[C@@H]1CN(Cc2c[nH]nc2C(=O)N2CC(O)C2)CCN1c1ccc(C(F)(F)F)cn1,10000.0
C[C@@H]1CN(Cc2c[nH]nc2C(=O)N2CCC(O)C2)CCN1c1ccc(C(F)(F)F)cn1,10000.0
C[C@@H]1CN(Cc2c[nH]nc2C(=O)N2CCC(O)CC2)CCN1c1ccc(C(F)(F)F)cn1,10000.0
COC(=O)c1ccc(-c2n[nH]cc2CN2CCN(c3ccc(C(F)(F)F)cn3)[C@H](C)C2)o1,984.0
C[C@@H]1CN(Cc2c[nH]nc2-c2ccc(C(=O)O)o2)CCN1c1ccc(C(F)(F)F)cn1,435.0
C[C@@H]1CN(Cc2c[nH]nc2-c2ccc(C(N)=O)o2)CCN1c1ccc(C(F)(F)F)cn1,8.0
